2006-03-24 01:18:00.000 001      364.30  27988.70  30696.20  41540.60
2006-03-24 01:19:00.000 001      364.30  27989.10  30696.20  41540.90
2006-03-24 01:20:00.000 001      364.30  27989.20  30696.10  41540.90
2006-03-24 01:21:00.000 001      364.30  27989.60  30696.30  41541.30
2006-03-24 01:22:00.000 001      364.30  27989.50  30696.20  41541.20
2006-03-24 01:23:00.000 001      364.40  27989.20  30696.50  41541.20
2006-03-24 01:24:00.000 001      364.40  27990.00  30696.30  41541.60
2006-03-24 01:25:00.000 001      364.50  27990.50  30696.30  41541.90
2006-03-24 01:26:00.000 001      364.50  27990.50  30696.30  41541.90
2006-03-24 01:27:00.000 001      364.50  27990.30  30696.50  41541.90
2006-03-24 01:28:00.000 001      364.50  27990.50  30696.60  41542.10
2006-03-24 01:29:00.000 001      364.50  27990.80  30696.80  41542.50
2006-03-24 01:30:00.000 001      364.50  27990.90  30697.00  41542.70
2006-03-24 01:31:00.000 001      364.60  27991.00  30696.90  41542.70
2006-03-24 01:32:00.000 001      364.50  27991.60  30697.00  41543.20
2006-03-24 01:33:00.000 001      364.60  27991.20  30697.20  41543.10
2006-03-24 01:34:00.000 001      364.50  27991.60  30697.20  41543.30
2006-03-24 01:35:00.000 001      364.60  27991.30  30697.50  41543.40
2006-03-24 01:36:00.000 001      364.60  27991.30  30697.50  41543.40
2006-03-24 01:37:00.000 001      364.60  27991.80  30697.40  41543.60
2006-03-24 01:38:00.000 001      364.60  27991.70  30697.50  41543.60
2006-03-24 01:39:00.000 001      364.60  27992.20  30697.40  41543.80
2006-03-24 01:40:00.000 001      364.60  27991.90  30697.90  41544.00
2006-03-24 01:41:00.000 001      364.60  27992.40  30697.70  41544.20
2006-03-24 01:42:00.000 001      364.70  27992.10  30697.70  41544.00
2006-03-24 01:43:00.000 001      364.60  27992.20  30697.80  41544.20
2006-03-24 01:44:00.000 001      364.60  27992.40  30697.70  41544.20
2006-03-24 01:45:00.000 001      364.60  27992.50  30697.80  41544.40
2006-03-24 01:46:00.000 001      364.60  27992.80  30697.90  41544.60
2006-03-24 01:47:00.000 001      364.70  27992.50  30698.10  41544.60
2006-03-24 01:48:00.000 001      364.60  27992.50  30698.10  41544.60
2006-03-24 01:49:00.000 001      364.70  27992.50  30698.10  41544.60
2006-03-24 01:50:00.000 001      364.70  27992.60  30698.10  41544.60
2006-03-24 01:51:00.000 001      364.70  27992.50  30698.10  41544.50
2006-03-24 01:52:00.000 001      364.70  27992.70  30698.20  41544.80
2006-03-24 01:53:00.000 001      364.70  27992.40  30698.30  41544.60
2006-03-24 01:54:00.000 001      364.70  27992.80  30698.20  41544.90
2006-03-24 01:55:00.000 001      364.60  27992.60  30698.30  41544.80
2006-03-24 01:56:00.000 001      364.60  27992.90  30698.20  41544.90
2006-03-24 01:57:00.000 001      364.60  27992.30  30698.40  41544.60
2006-03-24 01:58:00.000 001      364.60  27991.90  30698.50  41544.50
2006-03-24 01:59:00.000 001      364.60  27992.50  30698.30  41544.70
2006-03-24 02:00:00.000 001      364.60  27991.80  30698.30  41544.30
2006-03-24 02:01:00.000 001      364.60  27991.80  30698.30  41544.20
2006-03-24 02:02:00.000 001      364.60  27991.90  30698.20  41544.20
2006-03-24 02:03:00.000 001      364.60  27991.80  30698.20  41544.20
2006-03-24 02:04:00.000 001      364.60  27992.00  30698.20  41544.30
2006-03-24 02:05:00.000 001      364.50  27992.00  30698.30  41544.40
2006-03-24 02:06:00.000 001      364.60  27992.00  30698.10  41544.20
2006-03-24 02:07:00.000 001      364.60  27991.80  30698.30  41544.30
2006-03-24 02:08:00.000 001      364.60  27992.10  30698.20  41544.40
2006-03-24 02:09:00.000 001      364.60  27991.60  30698.20  41544.00
2006-03-24 02:10:00.000 001      364.60  27991.90  30698.10  41544.20
2006-03-24 02:11:00.000 001      364.70  27991.70  30698.00  41544.00
2006-03-24 02:12:00.000 001      364.60  27992.30  30698.00  41544.40
2006-03-24 02:13:00.000 001      364.60  27992.60  30697.90  41544.50
2006-03-24 02:14:00.000 001      364.50  27992.50  30698.10  41544.60
2006-03-24 02:15:00.000 001      364.50  27992.40  30698.20  41544.60
2006-03-24 02:16:00.000 001      364.50  27992.60  30698.00  41544.60
2006-03-24 02:17:00.000 001      364.50  27992.50  30698.00  41544.50
2006-03-24 02:18:00.000 001      364.50  27992.10  30698.10  41544.30
2006-03-24 02:19:00.000 001      364.40  27992.10  30697.90  41544.20
2006-03-24 02:20:00.000 001      364.40  27992.40  30697.90  41544.40
2006-03-24 02:21:00.000 001      364.40  27991.90  30697.80  41544.00
2006-03-24 02:22:00.000 001      364.40  27992.00  30698.00  41544.20
2006-03-24 02:23:00.000 001      364.40  27992.20  30697.90  41544.20
2006-03-24 02:24:00.000 001      364.40  27992.30  30697.90  41544.30
2006-03-24 02:25:00.000 001      364.40  27992.30  30698.00  41544.40
2006-03-24 02:26:00.000 001      364.40  27992.20  30698.00  41544.30
2006-03-24 02:27:00.000 001      364.40  27992.10  30698.00  41544.20
2006-03-24 02:28:00.000 001      364.40  27992.00  30697.70  41544.00
2006-03-24 02:29:00.000 001      364.40  27991.90  30697.90  41544.00
2006-03-24 02:30:00.000 001      364.40  27991.80  30697.60  41543.70
2006-03-24 02:31:00.000 001      364.40  27992.00  30697.70  41544.00
2006-03-24 02:32:00.000 001      364.40  27991.80  30697.70  41543.80
2006-03-24 02:33:00.000 001      364.50  27992.10  30697.50  41543.80
2006-03-24 02:34:00.000 001      364.50  27991.60  30697.70  41543.70
2006-03-24 02:35:00.000 001      364.50  27991.90  30697.40  41543.60
2006-03-24 02:36:00.000 001      364.50  27991.50  30697.50  41543.40
2006-03-24 02:37:00.000 001      364.40  27991.60  30697.40  41543.50
2006-03-24 02:38:00.000 001      364.40  27991.30  30697.70  41543.50
2006-03-24 02:39:00.000 001      364.40  27991.50  30697.60  41543.50
2006-03-24 02:40:00.000 001      364.40  27991.30  30697.60  41543.40
2006-03-24 02:41:00.000 001      364.40  27991.40  30697.50  41543.40
2006-03-24 02:42:00.000 001      364.40  27990.60  30697.70  41543.00
2006-03-24 02:43:00.000 001      364.30  27991.20  30697.40  41543.20
2006-03-24 02:44:00.000 001      364.30  27990.80  30697.50  41543.00
2006-03-24 02:45:00.000 001      364.30  27991.30  30697.50  41543.40
2006-03-24 02:46:00.000 001      364.40  27990.90  30697.40  41543.00
2006-03-24 02:47:00.000 001      364.30  27991.20  30697.50  41543.30
2006-03-24 02:48:00.000 001      364.40  27990.90  30697.30  41542.90
2006-03-24 02:49:00.000 001      364.40  27991.10  30697.30  41543.00
2006-03-24 02:50:00.000 001      364.40  27991.10  30697.40  41543.10
2006-03-24 02:51:00.000 001      364.40  27991.00  30697.40  41543.10
2006-03-24 02:52:00.000 001      364.40  27991.20  30697.40  41543.20
2006-03-24 02:53:00.000 001      364.40  27991.60  30697.30  41543.40
2006-03-24 02:54:00.000 001      364.40  27991.30  30697.40  41543.30
2006-03-24 02:55:00.000 001      364.40  27991.30  30697.40  41543.30
2006-03-24 02:56:00.000 001      364.40  27991.10  30697.50  41543.20
2006-03-24 02:57:00.000 001      364.40  27991.10  30697.50  41543.20
2006-03-24 02:58:00.000 001      364.40  27990.90  30697.50  41543.10
2006-03-24 02:59:00.000 001      364.40  27991.40  30697.30  41543.30
2006-03-24 03:00:00.000 001      364.40  27991.20  30697.60  41543.30
2006-03-24 03:01:00.000 001      364.50  27991.20  30697.40  41543.20
2006-03-24 03:02:00.000 001      364.40  27991.80  30697.40  41543.60
2006-03-24 03:03:00.000 001      364.50  27991.60  30697.30  41543.40
2006-03-24 03:04:00.000 001      364.50  27991.90  30697.40  41543.60
2006-03-24 03:05:00.000 001      364.50  27992.00  30697.50  41543.80
2006-03-24 03:06:00.000 001      364.50  27992.10  30697.40  41543.80
2006-03-24 03:07:00.000 001      364.50  27992.40  30697.40  41544.00
2006-03-24 03:08:00.000 001      364.50  27992.60  30697.50  41544.20
2006-03-24 03:09:00.000 001      364.40  27992.90  30697.60  41544.50
2006-03-24 03:10:00.000 001      364.50  27993.00  30697.60  41544.50
2006-03-24 03:11:00.000 001      364.40  27993.00  30697.50  41544.50
2006-03-24 03:12:00.000 001      364.50  27993.00  30697.70  41544.60
2006-03-24 03:13:00.000 001      364.40  27993.10  30697.50  41544.60
2006-03-24 03:14:00.000 001      364.50  27992.90  30697.60  41544.50
2006-03-24 03:15:00.000 001      364.50  27992.80  30697.70  41544.50
2006-03-24 03:16:00.000 001      364.50  27992.90  30697.50  41544.40
2006-03-24 03:17:00.000 001      364.50  27992.70  30697.60  41544.30
2006-03-24 03:18:00.000 001      364.50  27992.70  30697.50  41544.30
2006-03-24 03:19:00.000 001      364.50  27992.30  30697.70  41544.10
2006-03-24 03:20:00.000 001      364.50  27992.30  30697.60  41544.10
2006-03-24 03:21:00.000 001      364.50  27992.50  30697.60  41544.20
2006-03-24 03:22:00.000 001      364.50  27992.50  30697.40  41544.10
2006-03-24 03:23:00.000 001      364.50  27992.30  30697.50  41544.00
2006-03-24 03:24:00.000 001      364.50  27991.90  30697.60  41543.80
2006-03-24 03:25:00.000 001      364.40  27992.10  30697.40  41543.80
2006-03-24 03:26:00.000 001      364.50  27992.00  30697.50  41543.80
2006-03-24 03:27:00.000 001      364.40  27992.30  30697.40  41544.00
2006-03-24 03:28:00.000 001      364.40  27992.30  30697.50  41544.00
2006-03-24 03:29:00.000 001      364.40  27992.50  30697.50  41544.20
2006-03-24 03:30:00.000 001      364.40  27992.90  30697.40  41544.40
2006-03-24 03:31:00.000 001      364.40  27992.80  30697.60  41544.40
2006-03-24 03:32:00.000 001      364.40  27993.40  30697.50  41544.80
2006-03-24 03:33:00.000 001      364.40  27993.50  30697.70  41545.00
2006-03-24 03:34:00.000 001      364.30  27994.00  30697.70  41545.30
2006-03-24 03:35:00.000 001      364.40  27994.10  30697.90  41545.50
2006-03-24 03:36:00.000 001      364.30  27994.40  30697.90  41545.70
2006-03-24 03:37:00.000 001      364.40  27994.20  30697.80  41545.50
2006-03-24 03:38:00.000 001      364.40  27994.20  30698.00  41545.70
2006-03-24 03:39:00.000 001      364.40  27994.20  30697.80  41545.50
2006-03-24 03:40:00.000 001      364.40  27993.60  30697.70  41545.00
2006-03-24 03:41:00.000 001      364.40  27993.10  30697.90  41544.90
2006-03-24 03:42:00.000 001      364.40  27992.90  30697.80  41544.60
2006-03-24 03:43:00.000 001      364.40  27993.10  30697.50  41544.50
2006-03-24 03:44:00.000 001      364.40  27992.80  30697.80  41544.50
2006-03-24 03:45:00.000 001      364.40  27992.80  30697.70  41544.50
2006-03-24 03:46:00.000 001      364.40  27992.60  30697.70  41544.30
2006-03-24 03:47:00.000 001      364.40  27992.80  30697.80  41544.60
2006-03-24 03:48:00.000 001      364.40  27993.10  30698.00  41544.90
2006-03-24 03:49:00.000 001      364.40  27993.30  30697.90  41545.00
2006-03-24 03:50:00.000 001      364.40  27993.40  30697.90  41545.00
2006-03-24 03:51:00.000 001      364.40  27993.00  30698.20  41545.00
2006-03-24 03:52:00.000 001      364.40  27993.30  30697.90  41545.00
2006-03-24 03:53:00.000 001      364.40  27993.20  30697.90  41544.90
2006-03-24 03:54:00.000 001      364.40  27992.70  30698.10  41544.70
2006-03-24 03:55:00.000 001      364.40  27993.20  30697.80  41544.80
2006-03-24 03:56:00.000 001      364.40  27992.80  30697.90  41544.60
2006-03-24 03:57:00.000 001      364.40  27992.80  30697.80  41544.60
2006-03-24 03:58:00.000 001      364.40  27993.10  30697.70  41544.70
2006-03-24 03:59:00.000 001      364.30  27993.30  30698.00  41545.00
2006-03-24 04:00:00.000 001      364.40  27993.30  30697.90  41545.00
2006-03-24 04:01:00.000 001      364.40  27993.20  30697.90  41544.90
2006-03-24 04:02:00.000 001      364.40  27993.20  30697.80  41544.80
2006-03-24 04:03:00.000 001      364.30  27993.50  30697.80  41545.00
2006-03-24 04:04:00.000 001      364.30  27993.70  30697.90  41545.20
2006-03-24 04:05:00.000 001      364.40  27993.60  30697.90  41545.20
2006-03-24 04:06:00.000 001      364.40  27993.60  30697.90  41545.20
2006-03-24 04:07:00.000 001      364.40  27993.50  30697.90  41545.10
2006-03-24 04:08:00.000 001      364.40  27993.20  30697.90  41544.90
2006-03-24 04:09:00.000 001      364.40  27993.00  30697.90  41544.80
2006-03-24 04:10:00.000 001      364.40  27992.90  30698.00  41544.80
2006-03-24 04:11:00.000 001      364.40  27992.90  30698.00  41544.80
2006-03-24 04:12:00.000 001      364.40  27993.00  30698.10  41544.90
2006-03-24 04:13:00.000 001      364.40  27992.80  30698.00  41544.70
2006-03-24 04:14:00.000 001      364.40  27993.00  30697.90  41544.80
2006-03-24 04:15:00.000 001      364.40  27992.90  30698.10  41544.80
2006-03-24 04:16:00.000 001      364.30  27992.80  30698.20  41544.80
2006-03-24 04:17:00.000 001      364.30  27992.80  30698.10  41544.80
2006-03-24 04:18:00.000 001      364.30  27992.90  30698.10  41544.80
2006-03-24 04:19:00.000 001      364.30  27992.90  30697.90  41544.70
2006-03-24 04:20:00.000 001      364.40  27992.70  30697.90  41544.50
2006-03-24 04:21:00.000 001      364.40  27992.50  30698.00  41544.50
2006-03-24 04:22:00.000 001      364.30  27992.90  30697.90  41544.70
2006-03-24 04:23:00.000 001      364.30  27992.70  30698.10  41544.70
2006-03-24 04:24:00.000 001      364.30  27993.00  30698.00  41544.90
2006-03-24 04:25:00.000 001      364.40  27992.60  30698.00  41544.60
2006-03-24 04:26:00.000 001      364.40  27993.10  30697.90  41544.80
2006-03-24 04:27:00.000 001      364.40  27992.60  30698.00  41544.60
2006-03-24 04:28:00.000 001      364.40  27992.70  30698.00  41544.60
2006-03-24 04:29:00.000 001      364.40  27992.50  30698.10  41544.60
2006-03-24 04:30:00.000 001      364.40  27992.80  30697.90  41544.60
2006-03-24 04:31:00.000 001      364.40  27992.50  30698.20  41544.70
2006-03-24 04:32:00.000 001      364.40  27992.70  30698.00  41544.60
2006-03-24 04:33:00.000 001      364.40  27992.50  30698.10  41544.60
2006-03-24 04:34:00.000 001      364.40  27992.50  30698.10  41544.60
2006-03-24 04:35:00.000 001      364.30  27992.50  30698.10  41544.60
2006-03-24 04:36:00.000 001      364.40  27992.50  30697.90  41544.40
2006-03-24 04:37:00.000 001      364.30  27992.70  30697.80  41544.50
2006-03-24 04:38:00.000 001      364.40  27992.30  30698.00  41544.40
2006-03-24 04:39:00.000 001      364.40  27992.40  30697.90  41544.30
2006-03-24 04:40:00.000 001      364.40  27992.60  30698.00  41544.60
2006-03-24 04:41:00.000 001      364.40  27992.70  30698.20  41544.80
2006-03-24 04:42:00.000 001      364.40  27993.00  30698.00  41544.80
2006-03-24 04:43:00.000 001      364.40  27992.70  30698.20  41544.80
2006-03-24 04:44:00.000 001      364.40  27993.00  30698.10  41544.90
2006-03-24 04:45:00.000 001      364.40  27993.10  30698.20  41545.00
2006-03-24 04:46:00.000 001      364.30  27993.20  30698.10  41545.00
2006-03-24 04:47:00.000 001      364.40  27993.20  30698.10  41545.00
2006-03-24 04:48:00.000 001      364.40  27993.30  30698.20  41545.20
2006-03-24 04:49:00.000 001      364.40  27993.10  30697.90  41544.80
2006-03-24 04:50:00.000 001      364.40  27993.20  30698.10  41545.00
2006-03-24 04:51:00.000 001      364.40  27993.30  30698.10  41545.10
2006-03-24 04:52:00.000 001      364.40  27993.10  30698.10  41545.00
2006-03-24 04:53:00.000 001      364.40  27992.90  30698.30  41545.00
2006-03-24 04:54:00.000 001      364.40  27992.90  30698.20  41544.90
2006-03-24 04:55:00.000 001      364.30  27993.10  30698.10  41545.00
2006-03-24 04:56:00.000 001      364.40  27992.60  30698.30  41544.80
2006-03-24 04:57:00.000 001      364.40  27992.90  30698.10  41544.80
2006-03-24 04:58:00.000 001      364.40  27992.60  30698.10  41544.60
2006-03-24 04:59:00.000 001      364.40  27992.80  30698.20  41544.80
2006-03-24 05:00:00.000 001      364.40  27992.90  30698.20  41544.90
2006-03-24 05:01:00.000 001      364.40  27993.20  30698.00  41545.00
2006-03-24 05:02:00.000 001      364.40  27993.40  30698.10  41545.20
2006-03-24 05:03:00.000 001      364.40  27993.30  30698.10  41545.10
2006-03-24 05:04:00.000 001      364.40  27993.20  30698.00  41545.00
2006-03-24 05:05:00.000 001      364.40  27993.10  30698.10  41545.00
2006-03-24 05:06:00.000 001      364.30  27993.50  30697.90  41545.10
2006-03-24 05:07:00.000 001      364.40  27993.50  30698.20  41545.30
2006-03-24 05:08:00.000 001      364.40  27993.90  30697.90  41545.40
2006-03-24 05:09:00.000 001      364.30  27994.10  30698.00  41545.60
2006-03-24 05:10:00.000 001      364.40  27994.00  30698.10  41545.60
2006-03-24 05:11:00.000 001      364.40  27993.90  30698.00  41545.40
2006-03-24 05:12:00.000 001      364.40  27993.80  30698.10  41545.40
2006-03-24 05:13:00.000 001      364.40  27993.70  30698.10  41545.40
2006-03-24 05:14:00.000 001      364.40  27993.80  30698.00  41545.40
2006-03-24 05:15:00.000 001      364.40  27993.60  30698.10  41545.30
2006-03-24 05:16:00.000 001      364.40  27993.40  30698.10  41545.20
2006-03-24 05:17:00.000 001      364.40  27993.20  30698.00  41545.00
2006-03-24 05:18:00.000 001      364.40  27993.10  30697.90  41544.80
2006-03-24 05:19:00.000 001      364.30  27993.40  30698.00  41545.10
2006-03-24 05:20:00.000 001      364.40  27993.40  30698.00  41545.10
2006-03-24 05:21:00.000 001      364.40  27993.10  30697.90  41544.80
2006-03-24 05:22:00.000 001      364.30  27993.00  30697.90  41544.70
2006-03-24 05:23:00.000 001      364.40  27993.00  30698.00  41544.80
2006-03-24 05:24:00.000 001      364.40  27993.30  30698.00  41545.00
2006-03-24 05:25:00.000 001      364.40  27992.90  30698.10  41544.80
2006-03-24 05:26:00.000 001      364.30  27993.40  30697.70  41544.90
2006-03-24 05:27:00.000 001      364.40  27993.00  30697.80  41544.70
2006-03-24 05:28:00.000 001      364.30  27993.10  30697.90  41544.80
2006-03-24 05:29:00.000 001      364.30  27992.90  30697.80  41544.70
2006-03-24 05:30:00.000 001      364.30  27993.20  30697.70  41544.80
2006-03-24 05:31:00.000 001      364.30  27993.10  30697.90  41544.90
2006-03-24 05:32:00.000 001      364.30  27993.20  30697.80  41544.90
2006-03-24 05:33:00.000 001      364.30  27993.30  30697.90  41545.00
2006-03-24 05:34:00.000 001      364.30  27993.20  30697.90  41544.90
2006-03-24 05:35:00.000 001      364.30  27993.30  30697.90  41545.00
2006-03-24 05:36:00.000 001      364.30  27993.30  30697.90  41545.00
2006-03-24 05:37:00.000 001      364.30  27993.50  30697.70  41545.00
2006-03-24 05:38:00.000 001      364.30  27993.20  30698.00  41545.00
2006-03-24 05:39:00.000 001      364.30  27993.00  30697.90  41544.80
2006-03-24 05:40:00.000 001      364.30  27992.70  30697.90  41544.60
2006-03-24 05:41:00.000 001      364.30  27993.00  30697.70  41544.60
2006-03-24 05:42:00.000 001      364.30  27992.60  30697.90  41544.50
2006-03-24 05:43:00.000 001      364.30  27992.70  30697.90  41544.60
2006-03-24 05:44:00.000 001      364.30  27992.90  30697.70  41544.60
2006-03-24 05:45:00.000 001      364.30  27992.60  30697.80  41544.40
2006-03-24 05:46:00.000 001      364.30  27992.40  30697.70  41544.20
2006-03-24 05:47:00.000 001      364.30  27992.40  30697.90  41544.40
2006-03-24 05:48:00.000 001      364.30  27992.40  30697.90  41544.40
2006-03-24 05:49:00.000 001      364.30  27992.60  30697.80  41544.40
2006-03-24 05:50:00.000 001      364.30  27992.70  30697.70  41544.40
2006-03-24 05:51:00.000 001      364.30  27992.40  30697.70  41544.20
2006-03-24 05:52:00.000 001      364.30  27992.40  30697.80  41544.30
2006-03-24 05:53:00.000 001      364.30  27992.30  30697.80  41544.20
2006-03-24 05:54:00.000 001      364.30  27992.20  30697.80  41544.20
2006-03-24 05:55:00.000 001      364.30  27992.30  30697.70  41544.10
2006-03-24 05:56:00.000 001      364.30  27992.50  30697.70  41544.30
2006-03-24 05:57:00.000 001      364.20  27992.60  30697.80  41544.40
2006-03-24 05:58:00.000 001      364.20  27992.40  30697.80  41544.30
2006-03-24 05:59:00.000 001      364.30  27992.50  30697.90  41544.40
2006-03-24 06:00:00.000 001      364.20  27992.70  30697.90  41544.50
2006-03-24 06:01:00.000 001      364.20  27992.70  30698.00  41544.60
2006-03-24 06:02:00.000 001      364.20  27992.60  30697.90  41544.50
2006-03-24 06:03:00.000 001      364.20  27992.80  30697.90  41544.60
2006-03-24 06:04:00.000 001      364.30  27992.40  30697.90  41544.40
2006-03-24 06:05:00.000 001      364.20  27992.50  30697.80  41544.30
2006-03-24 06:06:00.000 001      364.20  27992.40  30697.80  41544.30
2006-03-24 06:07:00.000 001      364.20  27992.50  30697.70  41544.30
2006-03-24 06:08:00.000 001      364.20  27991.90  30697.80  41544.00
2006-03-24 06:09:00.000 001      364.20  27992.20  30697.70  41544.10
2006-03-24 06:10:00.000 001      364.30  27991.90  30697.90  41544.00
2006-03-24 06:11:00.000 001      364.30  27991.90  30697.80  41543.90
2006-03-24 06:12:00.000 001      364.20  27991.80  30697.80  41543.90
2006-03-24 06:13:00.000 001      364.20  27992.00  30697.80  41544.00
2006-03-24 06:14:00.000 001      364.20  27991.90  30697.90  41544.00
2006-03-24 06:15:00.000 001      364.20  27991.80  30697.80  41543.90
2006-03-24 06:16:00.000 001      364.20  27992.00  30697.90  41544.10
2006-03-24 06:17:00.000 001      364.20  27992.00  30697.80  41544.00
2006-03-24 06:18:00.000 001      364.20  27992.00  30697.90  41544.10
2006-03-24 06:19:00.000 001      364.20  27992.00  30697.90  41544.10
2006-03-24 06:20:00.000 001      364.20  27992.00  30698.00  41544.20
2006-03-24 06:21:00.000 001      364.30  27992.30  30698.00  41544.40
2006-03-24 06:22:00.000 001      364.30  27992.30  30697.80  41544.20
2006-03-24 06:23:00.000 001      364.30  27992.80  30697.90  41544.60
2006-03-24 06:24:00.000 001      364.30  27992.50  30697.90  41544.40
2006-03-24 06:25:00.000 001      364.30  27992.90  30698.00  41544.80
2006-03-24 06:26:00.000 001      364.30  27992.40  30697.90  41544.40
2006-03-24 06:27:00.000 001      364.30  27992.80  30698.00  41544.70
